publicationMonth,publicationDay,text,publicationYear,sentiment,publicationDate
1,2,happy new year love bear freeport grand bahamas love old community adelaide village,2017,0.9442,2/01/2017
2,14,update freeport cut output key indonesia copper mine jakarta feb reuters freeport mcmoran inc h,2017,-0.2732,14/02/2017
2,14,indivisible nw illinois th district rebel wednesday feb st johnsunitedchurchofchrist freeport il pm indivisible resisttrump,2017,-0.1531,14/02/2017
2,14,jakarta feb freeport mcmoran inc stop production copper concentrate indonesian unit,2017,-0.296,14/02/2017
2,14,freeport indonesia copper concentrate output stop spokesman jakarta,2017,-0.296,14/02/2017
2,14,indonesia approve freeport amman contract conversion mine copper,2017,0,14/02/2017
2,14,jakarta feb reuters freeport mcmoran inc stop production copper concentrate indonesian unit,2017,-0.296,14/02/2017
2,14,government stand firm freeport threaten cut production jakarta post jakarta,2017,-0.5719,14/02/2017
2,14,freeport indonesia copper concentrate output stop spokesman jakarta feb,2017,-0.296,14/02/2017
2,14,update freeport cut output key indonesia copper mine jakarta feb reuters,2017,-0.2732,14/02/2017
2,14,worlds second largest copper mine grasberg freeport mcmoran indonesia may halt production week underpin shfe cu,2017,0,14/02/2017
2,14,freeport cut output key indonesia copper mine jakarta globe,2017,-0.2732,14/02/2017
2,14,kkk leave fliers freeport think theres trouble neighborhood call us citizens rally next day riot maine,2017,-0.7579,14/02/2017
2,14,kkk leave fliers freeport think theres trouble neighborhood call us citizens rally next day riot maine,2017,-0.7579,14/02/2017
3,5,freeport cant beat union dairy,2017,0,5/03/2017
3,5,break copper unions freeports cerro verde mine peru file notice intent strike march,2017,-0.128,5/03/2017
3,5,break copper unions freeports cerro verde mine peru file notice intent strike march,2017,-0.128,5/03/2017
3,5,freeport,2017,0,5/03/2017
3,5,break copper unions freeports cerro verde mine peru file notice intent strike march,2017,-0.128,5/03/2017
3,5,break copper unions freeports cerro verde mine peru file notice intent strike march,2017,-0.128,5/03/2017
3,5,part time teller member service representative cornerstone credit union freeport il,2017,0.3818,5/03/2017
3,16,strike freeports cerro verde copper mine peru th day meet union fail output,2017,-0.6124,16/03/2017
3,16,freeport quandary jakarta efforts retake control resources sector,2017,0,16/03/2017
3,16,freeport cerro verde copper mine peru hit strike copper cerroverde qtrrf coppermining mine stock,2017,-0.128,16/03/2017
3,16,new colleague jakartas fight w freeport could biggest arbitration case ever,2017,-0.3818,16/03/2017
3,16,freeport cerro verde copper mine peru strike k production high demand supply side shock higher price avb,2017,-0.5574,16/03/2017
3,16,strike freeports cerro verde copper mine peru may end next week labor ministry declare illegal,2017,-0.6249,16/03/2017
3,16,new colleague jakartas fight w freeport could biggest arbitration case ever,2017,-0.3818,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,additional disruption copper supply freeports cerro verde mine standards include labor relations material susty factor,2017,-0.3612,16/03/2017
3,16,additional disruption copper supply freeports cerro verde mine standards include labor relations material susty factor,2017,-0.3612,16/03/2017
3,16,publish op ed today quandary face freeport indonesian government,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,copper squeeze indefinite strike halt output freeport peru mine fcx commodities sumitomo bvn bhp,2017,-0.128,16/03/2017
3,16,new colleague jakartas fight w freeport could biggest arbitration case ever,2017,-0.3818,16/03/2017
3,16,new colleague jakartas fight w freeport could livlivia via cnvey,2017,-0.3818,16/03/2017
3,16,indonesia long relationship freeport mcmoran crossroads westpapua mine,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
3,16,australian company involve westpapua resource plunder cairns darwin happen freeport pull,2017,0,16/03/2017
1,28,bechtel inc freeport power players able keep us govt line jakartas wish westpapua,2017,0.4019,28/01/2017
1,28,adelaide freeport,2017,0,28/01/2017
1,28,bechtel inc freeport power players able keep us govt line jakartas wish westpapua,2017,0.4019,28/01/2017
1,28,fulton county oks freeport tax exemption ecommerce,2017,0,28/01/2017
1,28,freeport news freeport,2017,0,28/01/2017
4,23,refile freeport warn indonesia copper mine workers grasberg strike loom,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport collect export permit pence visit,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,pic speak word indonesianmilitary mercenary guard freeports grasbergmine westpapua worlds biggest goldmine,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,pic speak word indonesianmilitary mercenary guard freeports grasbergmine westpapua worlds biggest goldmine,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom time india,2017,-0.4215,23/04/2017
4,23,westpapua two freeport mcmoran employees shoot police receive intensive medical treatment mine,2017,-0.34,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,pic speak word indonesianmilitary mercenary guard freeports grasbergmine westpapua worlds biggest goldmine,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,jakarta post freeport submit proposal obtain export permit jakarta post freeport submit,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,pic speak word indonesianmilitary mercenary guard freeports grasbergmine westpapua worlds biggest goldmine,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,pic speak word indonesianmilitary mercenary guard freeports grasbergmine westpapua worlds biggest goldmine,2017,0,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom time india,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom business time,2017,-0.4215,23/04/2017
4,23,freeport warn indonesia copper mine workers grasberg strike loom reuters,2017,-0.4215,23/04/2017
2,7,government stand firm freeport threaten cut production jakarta post,2017,-0.5719,7/02/2017
2,7,amerikkkan predator freeport mcmorans crime environment people westpapua freewestpapua,2017,-0.5423,7/02/2017
2,7,government stand firm freeport threaten cut production jakarta post,2017,-0.5719,7/02/2017
2,7,government stand firm freeport threaten cut production jakarta post jakarta,2017,-0.5719,7/02/2017
2,7,government stand firm freeport threaten cut production jakarta post jakarta,2017,-0.5719,7/02/2017
2,7,freeport steal west papuan assets west papuans,2017,-0.3612,7/02/2017
3,21,aunz papuan students bali riot freeport papuan students bali riot freeport dozens,2017,-0.802,21/03/2017
3,21,workers freeport cerro verde copper mine go indefinite strike via ceciliajamasmie,2017,-0.128,21/03/2017
3,21,indefinite strike freeport cerroverde copper mine gt kingsbayresources kbg cu gt read mine com,2017,0.4019,21/03/2017
3,21,workers freeport cerro verde copper mine go indefinite strike investorseurope mine,2017,-0.128,21/03/2017
3,21,students papua ask government close freeport,2017,0,21/03/2017
3,21,aunz papuan students bali riot freeport papuan students bali riot freeport dozens,2017,-0.802,21/03/2017
3,21,strike freeports cerro verde copper mine end mar gov order agreement restart mar,2017,0.3071,21/03/2017
3,21,students indonesia demand closure destructive freeport mcmoran mine west papua freewestpapua,2017,-0.6705,21/03/2017
3,21,strike freeports cerro verde copper mine end mar gov order agreement restart mar,2017,0.3071,21/03/2017
3,21,copper price slump indonesias grasberg mine resume production mine freeport,2017,0,21/03/2017
3,21,strike freeports cerro verde copper mine end mar gov order agreement restart mar,2017,0.3071,21/03/2017
3,21,strike freeports cerro verde copper mine end mar gov order agreement restart mar,2017,0.3071,21/03/2017
3,21,papua govt ask central govt make master plan take freeport jakarta th,2017,0,21/03/2017
3,21,freeport indonesia resume copper concentrate production,2017,0,21/03/2017
3,21,jakarta theinsiderstories pt freeport indonesia begin production copper concentrate today mar,2017,0,21/03/2017
3,21,freeport mc moran fcx peru government order cerro verde strike stop produce tons copper mine,2017,-0.4019,21/03/2017
3,21,top us politicians take special interest freeport dispute westpapua struggle potential international hotspot,2017,0.3612,21/03/2017
