publicationMonth,publicationDay,text,publicationYear,sentiment,publicationDate
1,23,freeport mine share grant local administrations papua asia pacific report east timor indonesia,2018,0.5719,23/01/2018
1,23,ayok supporters jokowi ahok support jonan esdm minister drag freeport international arbitration,2018,0.5719,23/01/2018
1,23,jakarta existence pt freeport indonesia ptfi inspire kartini kartini,2018,0.5719,23/01/2018
1,23,ministry state enterprises ready take percent freeport share jakarta ministry,2018,0.5719,23/01/2018
1,23,ministry state enterprises ready take percent freeport share jakarta ministry,2018,0.5719,23/01/2018
1,23,let celebrate yrs freeport drain content earth papua result collusion jakarta us tumbal people papua trus slaughter friday,2018,0.5719,23/01/2018
1,23,let celebrate yrs freeport drain content earth papua result collusion jakarta us tumbal people papua trus slaughter friday,2018,0.5719,23/01/2018
1,23,let celebrate yrs freeport drain content earth papua result collusion jakarta us tumbal people papua trus slaughter friday,2018,0.5719,23/01/2018
1,23,let celebrate yrs freeport drain content earth papua result collusion jakarta us tumbal people papua trus slaughter friday,2018,0.5719,23/01/2018
1,23,let celebrate yrs freeport drain content earth papua result collusion jakarta us tumbal people papua trus slaughter friday,2018,0.5719,23/01/2018
1,23,help nearby drivers report heavy traffic jam tol surabaya gresik drive social,2018,0.4019,23/01/2018
1,23,help nearby drivers report moderate traffic jam tol surabaya gresik drive social,2018,0.4019,23/01/2018
1,23,ansor youth movement please freeport negotiation abuse jakarta organization,2018,0.6876,23/01/2018
1,23,ansor youth movement please freeport negotiation abuse jakarta organization,2018,0.6876,23/01/2018
1,23,new post king salman bom bandung sink freeport publish duta damai indonesia,2018,0,23/01/2018
1,23,freeport begin export concentrate india jakarta pt freeport indonesia state start expo,2018,0,23/01/2018
1,23,spsi mimika support freeport indonesia employee strike via hariburuh,2018,0.296,23/01/2018
1,23,freeport ready first grasberg copper export week halt metl via reuters,2018,0.3612,23/01/2018
1,23,mayor ahok cheat lose dirty election american freeport n oil control indonesia back soon,2018,-0.8225,23/01/2018
1,23,labor union condemn allege shoot freeport workers,2018,-0.6124,23/01/2018
1,22,jakarta citizens reject ahok freeport iupk advantage indonesia rakyatbersamafpi dkibuhan,2018,-0.1779,22/01/2018
1,22,organs ngakunya love nkri tp riot reject ahok riot reject freeport riot corruption request,2018,-0.9371,22/01/2018
1,22,emang yg riot sama engga kan point ga never riot riot ahok ga riot freeport doub booth,2018,-0.9371,22/01/2018
1,22,organs ngakunya love nkri tp riot reject ahok riot reject freeport riot corruption request,2018,-0.9371,22/01/2018
1,22,organs ngakunya love nkri tp riot reject ahok riot reject freeport riot corruption request,2018,-0.9371,22/01/2018
1,22,organs ngakunya love nkri tp riot reject ahok riot reject freeport riot corruption request,2018,-0.9371,22/01/2018
1,22,riot freeportunmahasiswa riot freeport riot jakarta jilid dengan kehadiran wanita berkot,2018,-0.8957,22/01/2018
1,22,civet dick ahok sewot bangt turn government lg want exclude freeport diem aja dick poor,2018,-0.8834,22/01/2018
1,22,fariz study trumph freeport problem silent problem ahok angry beyond rizieq severe,2018,-0.8834,22/01/2018
1,22,angay freeport riot fake klo ahok riot corrupt congregation,2018,-0.8834,22/01/2018
1,22,riot tuh semen rembang freeport corruptor opponent ahok riot sampe bind volumes suck dude,2018,-0.8779,22/01/2018
1,22,sejutaaksi sngat unfortunate bgi pmerinth bhw pmernth want action riot bla nkri ie tntng freeport riot sentiment ahok,2018,-0.872,22/01/2018
1,22,urgent hrs stop arrogance country gk blh lose muhammadiyah ask government setop freeport arrogance,2018,-0.872,22/01/2018
1,22,shout nkri price die support government freepoort danger ahok drpd freeport actiondamai,2018,-0.8705,22/01/2018
1,22,dhs intel report dispute threat pose travel ban nations,2018,-0.8658,22/01/2018
1,22,start phd lihir gold mine white miners freeport worst stories indigenous abuse,2018,-0.8519,22/01/2018
1,22,start phd lihir gold mine white miners freeport worst stories indigenous abuse,2018,-0.8519,22/01/2018
1,22,riot governor infidels lbh important dr robber human resources answer ahok status jonan criticism freeport,2018,-0.8519,22/01/2018
1,22,riot governor infidels lbh important dr robber human resources answer ahok status jonan criticism freeport,2018,-0.8519,22/01/2018
1,22,opinidin real danger threaten actually years harass us savefreeport,2018,-0.8481,22/01/2018
1,22,freeport bully mrk silent dream kaleee wrong even position shake cia collapse suddenly,2018,-0.8481,22/01/2018
1,22,dare ahok riot silent opponents american freeport dennysiregar action sidangahok jakartabanjir,2018,-0.3182,22/01/2018
1,22,dare ahok riot silent opponents american freeport dennysiregar action sidangahok jakartabanjir,2018,-0.3182,22/01/2018
1,22,dare ahok riot silent opponents american freeport dennysiregar action sidangahok jakartabanjir,2018,-0.3182,22/01/2018
1,22,dare ahok riot silent opponents american freeport dennysiregar action sidangahok jakartabanjir,2018,-0.3182,22/01/2018
1,22,dare ahok riot silent opponents american freeport dennysiregar action sidangahok jakartabanjir,2018,-0.3182,22/01/2018
1,21,help religion freeports problem one want fuss savefpibubarkangmbi,2018,-0.7057,21/01/2018
1,21,freeport say deal indonesia export ban remain jakarta globe,2018,-0.7003,21/01/2018
1,21,freeport say deal indonesia export ban remain jakarta globe,2018,-0.7003,21/01/2018
1,21,freeport thief make land people suffer much follow govts rule must otherwise please leave,2018,-0.7003,21/01/2018
1,21,freeport say deal indonesia export ban remain,2018,-0.7003,21/01/2018
1,21,break freeports grasbergmine westpapua temporarily stop operations due amid upcoming riot,2018,-0.7003,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,dare ahok riot tp silent opponent freeport america riot dong yg yg aksi,2018,-0.802,21/01/2018
1,21,riot governor infidels lbh important dr robber human resources answer ahok status jonan criticism freeport,2018,-0.8519,21/01/2018
1,21,riot governor infidels lbh important dr robber human resources answer ahok status jonan criticism freeport,2018,-0.8519,21/01/2018
1,21,opinidin real danger threaten actually years harass us savefreeport,2018,-0.8481,21/01/2018
1,21,freeport bully mrk silent dream kaleee wrong even position shake cia collapse suddenly,2018,-0.8481,21/01/2018
1,21,freeport bully mrk silent dream kaleee wrong even position shake cia collapse suddenly,2018,-0.8481,21/01/2018
1,21,masi kawan indonesia fully support unite freeport problem,2018,0.0754,21/01/2018
1,21,freeport pay ulayat right amungme tribe jakarta komnas ham ask pt freeport indonesia ptfi immediately,2018,0.0762,21/01/2018
1,20,organs ngakunya love nkri tp riot reject ahok riot reject freeport riot corruption request,2018,-0.9371,20/01/2018
1,20,urgent hrs stop arrogance country gk blh lose muhammadiyah ask government setop freeport arrogance,2018,-0.872,20/01/2018
1,20,start phd lihir gold mine white miners freeport worst stories indigenous abuse,2018,-0.8519,20/01/2018
1,20,riot governor infidels lbh important dr robber human resources answer ahok status jonan criticism freeport,2018,-0.8519,20/01/2018
1,20,freeport bully mrk silent dream kaleee wrong even position shake cia collapse suddenly,2018,-0.8481,20/01/2018
1,20,mayor ahok cheat lose dirty election american freeport n oil control indonesia back soon,2018,-0.8225,20/01/2018
1,20,pacific papuan students bali riot freeport papuan students bali riot,2018,-0.802,20/01/2018
1,20,newsdesk aunz papuan students bali riot freeport papuan students bali riot,2018,-0.802,20/01/2018
1,20,labor union condemn allege shoot freeport workers,2018,-0.6124,20/01/2018
1,20,westpapua labor union condemn allege police shoot freeport workers mine,2018,-0.6124,20/01/2018
1,20,westpapua labor union condemn allege police shoot freeport workers mine,2018,-0.6124,20/01/2018
1,20,labor union condemn allege shoot freeport workers,2018,-0.6124,20/01/2018
1,20,labor union condemn allege shoot freeport workers,2018,-0.6124,20/01/2018
1,20,labor union condemn allege shoot freeport workers,2018,-0.6124,20/01/2018
1,20,impact freeports chaos bank significant jakarta freeport contract pt freeport,2018,-0.6476,20/01/2018
1,20,mr president afraid ahok big agenda destroy bapak especially freeport problem keep alert,2018,-0.6444,20/01/2018
1,20,foreigners mine westpapua outcry papuans use indon gov bargain chip freeport dispute,2018,-0.6369,20/01/2018
1,20,ahoks case able sink major issue rise price electricity fuel freeport problems state debt,2018,-0.6369,20/01/2018
1,20,ahoks case able sink major issue rise price electricity fuel freeport problems state debt,2018,-0.6369,20/01/2018
1,20,fight government fight freeport follow action e,2018,-0.6369,20/01/2018
1,20,severe severe taku ama ahok ya freeport dong wei,2018,-0.6369,20/01/2018
1,19,strike freeports cerro verde copper mine peru may end next week labor ministry declare illegal,2018,-0.6249,19/01/2018
1,19,freeport grasberg miners strike riot layoffs,2018,-0.6249,19/01/2018
1,19,citradp papuan student riot action demand freeport close simultaneously conduct jakarta bali kbrpagi,2018,-0.6249,19/01/2018
1,19,kpk koq bluff inalum si ready build freeport papua smelter ahok provide stone pipe sand cord aq dumb dumb truck,2018,-0.6249,19/01/2018
1,19,hifive news week jakarta flood freeports crisis,2018,-0.6249,19/01/2018
1,19,hifive news week jakarta flood freeports crisis,2018,-0.6249,19/01/2018
1,19,jokowi respond freeports problems jakarta feud,2018,-0.6249,19/01/2018
1,19,stop also take right expel freeport dr indonesia nationalizationfreeport,2018,-0.6249,19/01/2018
1,19,freeport crisis garuda passenger decrease jakarta kontrakfreeportdiindonesia ptfreeportindonesia,2018,-0.6249,19/01/2018
1,19,ninik yuniati kbr jakarta papua provincial government ask pt freeport indonesia pay immediately,2018,-0.1027,19/01/2018
1,19,freeport warn layoffs native papuan employees could lead rampant jakarta pt freeport,2018,-0.1027,19/01/2018
1,19,yakin kl ar pay freeport circulate fellow countrymen,2018,-0.1027,19/01/2018
1,19,im sure action employee initiative nationalizationfreeport,2018,-0.2411,19/01/2018
